State,Year,Birthrate,treated,tax_zscore,finance_zscore,migration_zscore,marriage_zscore,female_zscore,population_zscore,childcare_zscore,unemployment_zscore,femalelabor_zscore,housing_zscore
Seoul,2015,1.001,0,-0.302374345,2.522561834,-1.154613719,2.172263333,2.325553436,2.132005603,-1.2165244111883076,1.289783484688877,-0.2860162177856532,-1.9076967352840672
Busan,2015,1.139,0,-1.143231699,0.641244938,-0.422687431,0.95970911,0.101861043,0.096701966,-1.515516585981133,1.1574979990797607,-1.3737948680704941,-2.1767386022872866
Daegu,2015,1.216,0,-1.401608353,0.37798899,-0.715457946,0.629012503,-0.155753647,-0.19707501,-1.1285855362492416,0.3637850854250677,-0.7413654202304699,-1.7963690659873437
Incheon,2015,1.216,0,-1.032175068,1.161335957,0.602009372,1.621102322,0.003370195,-0.054489055,-0.24919678685857868,2.3480673695618015,-0.21012468404484927,-1.3591760308894696
Gwangju,2015,1.207,0,-1.505865599,0.204625317,-0.129916916,1.180173514,-0.413908559,-0.490983067,-0.14367013693169903,-0.42992782822962583,-1.0702287331072817,-1.7534615272430971
Daejeon,2015,1.277,0,-1.607856383,0.532090033,-0.715457946,1.621102322,-0.40699444,-0.474396798,1.6678706868130664,0.23149959981595203,-0.6907710644032673,-1.0796971948896843
Ulsan,2015,1.486,0,-0.692205787,1.450275412,0.455624114,2.282495535,-0.54429548,-0.580638462,-0.002967937029192819,-0.42992782822962583,-2.613356585836941,-3.0000994902581724
Gyeonggi,2015,1.272,0,-0.946049516,1.276911739,0.894779887,1.731334524,3.037876906,2.863317866,1.4744051619471215,0.8929270278615299,-0.38720492944005674,0.3559658742131845
Gangwon,2015,1.311,0,-1.616922231,-1.252913712,0.309238857,0.629012503,-0.497682884,-0.507577937,0.9819474622883498,-0.033071371402278775,-0.6148795306624651,-0.03136164280939808
Chungbuk,2015,1.414,0,-1.437871743,-0.829135845,0.455624114,1.180173514,-0.446437912,-0.47811049,0.10255871289768684,-0.8267842850569723,0.1187386288319626,0.6029741404652916
Chungnam,2015,1.48,0,-1.050306763,-0.681455679,0.894779887,1.51087012,-0.314268379,-0.339821539,1.7909851117277598,0.3637850854250677,-0.41250210735365805,0.47193219593340696
Jeonbuk,2015,1.352,0,-1.73704471,-1.214388451,0.016468341,0.518780301,-0.402139691,-0.428197664,1.4040540619958684,-2.017353655539013,-0.9943371993664796,0.011545897326445469
Jeonnam,2015,1.549,0,-1.657718544,-1.490486153,0.162853599,0.408548099,-0.458711954,-0.458439719,0.331199787739259,-0.959069770666088,0.14403580674556393,-0.9590922193543678
Gyeongbuk,2015,1.464,0,-1.378943734,-1.073129162,0.162853599,0.849476907,-0.194712491,-0.177940033,0.9995352372761628,-0.29764234262051015,-0.36190775152645543,0.8511420694753722
Gyeongnam,2015,1.437,0,-0.984579368,-0.231994304,0.455624114,1.290405716,0.03603974,0.037939116,2.3537939113377844,-0.8267842850569723,-0.8678513097984748,1.3231250054032613
Jeju,2015,1.477,0,-0.315973116,-0.687876555,2.944173492,1.621102322,-0.723547735,-0.771463501,1.6151073618496277,-1.7527826843207817,2.066621328179238,-0.5253781753136103
Seoul,2016,0.94,0,-0.134656166,2.548245341,-1.886540007,2.172263333,2.272917422,2.096714876,-1.2692877361517478,1.289783484688877,-0.18482750613124793,-1.55283978940076
Busan,2016,1.095,0,-0.846325194,0.634824061,-0.422687431,0.849476907,0.084321345,0.087051527,-1.4275777110420669,0.8929270278615299,-1.3484976901568928,-1.9216126939461589
Daegu,2016,1.186,0,-0.968714135,0.615561431,-0.569072689,0.629012503,-0.169438068,-0.200841954,-1.1989366362004947,1.1574979990797607,-0.5642851748352624,-1.5980666550525544
Incheon,2016,1.144,0,-0.791930109,1.379645767,0.602009372,1.51087012,-0.003494374,-0.04758026,-0.26678456184639154,2.2157818839526864,-0.10893597239044575,-1.0193947078178225
Gwangju,2016,1.168,0,-1.351746192,0.365147236,-0.715457946,0.95970911,-0.422367206,-0.492283637,-0.03814348700481937,-0.16535685701139446,-1.1461202668480859,-1.5006549444179207
Daejeon,2016,1.192,0,-1.369877887,0.5962988,-1.886540007,1.400637918,-0.414026997,-0.475300848,1.6502829118252536,-0.033071371402278775,-0.41250210735365805,-0.7619494725691491
Ulsan,2016,1.418,0,-0.325038963,1.366804014,0.162853599,2.062031131,-0.551473063,-0.58198532,0.04979538793424662,0.7606415422524142,-2.183304561305726,-2.986183531596081
Gyeonggi,2016,1.194,0,-0.728469177,1.321857876,1.333935659,1.621102322,3.042231315,2.92549497,1.1578252121664825,0.8929270278615299,-0.38720492944005674,0.6366043729709454
Gangwon,2016,1.237,0,-1.480934518,-1.195125821,0.602009372,0.629012503,-0.501390718,-0.504996459,0.8940085873492839,-0.5622133138387415,-0.46309646318085895,0.2040499916881653
Chungbuk,2016,1.358,0,-1.27695295,-0.784189707,0.309238857,1.180173514,-0.448708779,-0.47238798,0.1377342628733134,-0.8267842850569723,0.19463016257276658,0.5739825589915377
Chungnam,2016,1.395,0,-0.617412545,-0.482408499,0.894779887,1.621102322,-0.311139441,-0.33153926,1.5095807119227473,-0.033071371402278775,-0.7666625981440712,0.3779994749642965
Jeonbuk,2016,1.251,0,-1.553461298,-1.1180753,-0.129916916,0.408548099,-0.407671228,-0.428493006,1.3512907370324283,-1.4882117131025503,-0.7413654202304699,0.037058487743078926
Jeonnam,2016,1.466,0,-1.492266828,-1.394173001,0.455624114,0.408548099,-0.465081017,-0.458751856,0.4015508876905121,-0.29764234262051015,0.34641323005437097,-0.8106553278864651
Gyeongbuk,2016,1.396,0,-1.038974453,-0.95755338,0.162853599,0.849476907,-0.206449936,-0.178323035,0.8588330373736573,-0.033071371402278775,-0.2860162177856532,0.8731756660516973
Gyeongnam,2016,1.358,0,-0.882588584,-0.283361318,0.455624114,1.180173514,0.021609644,0.038603533,2.054801736544959,0.09921411420683633,-0.8931484877120761,1.4043014262934705
Jeju,2016,1.432,0,0.026262627,-0.610826034,3.529714523,1.621102322,-0.720267728,-0.765706991,1.1754129871542955,-1.3559262274934345,2.496673352710453,0.5449909789093829
Seoul,2017,0.836,0,0.241576505,2.535403588,-1.886540007,1.51087012,2.227758713,2.062009919,-1.3572266110908138,1.6866399415162234,0.01754991717755909,-1.2165374546030412
Busan,2017,0.976,0,-0.655942397,0.763241597,-0.715457946,0.408548099,0.060613204,0.070692603,-1.3924021610664403,1.8189254271253386,-1.2473089785024893,-1.780133780417706
Daegu,2017,1.067,0,-0.87805566,0.570615293,-0.422687431,0.518780301,-0.185811514,-0.208227556,-1.2516999611639341,1.0252125134706456,-0.38720492944005674,-1.479781006424786
Incheon,2017,1.007,0,-0.506355913,1.251228232,0.455624114,1.069941312,-0.015033617,-0.046766738,-0.31954788680983176,1.8189254271253386,-0.1595303282176484,-0.5810420099619731
Gwangju,2017,1.053,0,-1.26562064,0.243150578,-0.569072689,0.629012503,-0.430935831,-0.494561581,-0.05573126199263226,-0.42992782822962583,-0.5895823527488637,-1.5586381059738292
Daejeon,2017,1.075,0,-1.174962166,0.634824061,-0.861843204,1.069941312,-0.423418645,-0.479433181,1.4040540619958684,0.23149959981595203,-0.7160682423168686,-0.6691764143580142
Ulsan,2017,1.261,0,0.053460169,1.231965602,-0.861843204,1.621102322,-0.562128855,-0.587015559,-0.020555712017005703,0.3637850854250677,-1.6520638251201052,-2.89225081062697
Gyeonggi,2017,1.069,0,-0.458760214,1.302595246,1.773091432,1.180173514,3.034084474,2.972334353,0.8764208123614702,0.8929270278615299,-0.2860162177856532,0.5693439065680408
Gangwon,2017,1.123,0,-1.184028013,-1.085970916,0.309238857,0.408548099,-0.508550173,-0.50808219,0.7533063874467777,-0.8267842850569723,0.24522451839996745,0.46381455384438663
Chungbuk,2017,1.235,0,-0.970980597,-0.707139186,0.602009372,0.849476907,-0.454990826,-0.472333499,0.10255871289768684,-1.3559262274934345,0.19463016257276658,0.4974447863500404
Chungnam,2017,1.276,0,-0.440628519,-0.431041484,1.187550402,1.290405716,-0.311558808,-0.324196668,1.4744051619471215,-0.5622133138387415,-0.5389879969216629,0.2446382049164609
Jeonbuk,2017,1.151,0,-1.451470514,-1.201546698,-0.129916916,-0.142612911,-0.417588596,-0.432443873,1.2281763121177356,-0.959069770666088,-1.0196343772800809,0.171579421940485
Jeonnam,2017,1.325,0,-1.270153564,-1.349226864,-0.129916916,-0.032380709,-0.474200742,-0.462754746,0.5950164125564578,-0.033071371402278775,0.34641323005437097,-0.6019159479551076
Gyeongbuk,2017,1.256,0,-0.837259347,-0.951132503,0.016468341,0.518780301,-0.223016751,-0.185307611,0.9291841373249097,-0.5622133138387415,-0.2607190398720519,0.699226182775566
Gyeongnam,2017,1.227,0,-0.608346697,-0.148522906,0.309238857,0.849476907,0.004537655,0.034422864,1.7558095617521339,-0.42992782822962583,-0.8678513097984748,1.2570242017583324
Jeju,2017,1.305,0,0.64727318,-0.469566745,3.529714523,1.51087012,-0.716412451,-0.759862411,0.6653675125077109,-1.7527826843207817,3.078508444723275,0.7595286795885966
Seoul,2018,0.761,0,0.640473794,2.45193219,-1.300998976,1.069941312,2.174257377,2.033906535,-1.3748143860786268,2.08349639834357,0.042847095091160414,-0.5103025525019481
Busan,2018,0.899,0,-0.515421761,0.724716336,-1.008228461,-0.032380709,0.035321861,0.05651495,-1.3044632861273737,1.1574979990797607,-1.3484976901568928,-1.5760330543014425
Daegu,2018,0.987,0,-0.764732567,0.422935127,-0.569072689,0.077851493,-0.20294393,-0.214407622,-1.1989366362004947,1.5543544559071083,-0.41250210735365805,-1.3591760308894696
Incheon,2018,1.006,0,-0.077994619,1.238386478,0.016468341,0.739244705,-0.029478216,-0.046004829,-0.33713566179764465,1.422068970297992,0.3717104079679723,-0.5717647037233803
Gwangju,2018,0.972,0,-1.002711063,0.17894181,-0.715457946,0.408548099,-0.441691933,-0.49715494,0.08497093790987317,0.7606415422524142,-0.2860162177856532,-1.2374113925961778
Daejeon,2018,0.952,0,-0.968714135,0.390830743,-1.447384234,0.629012503,-0.437412455,-0.484971358,1.2633518620933621,1.289783484688877,-0.48839364109446026,-0.36882364036509224
Ulsan,2018,1.131,0,0.180382034,1.212702971,-1.300998976,0.95970911,-0.573029984,-0.590993461,0.08497093790987317,1.8189254271253386,-1.4243892238976967,-2.718301327350839
Gyeonggi,2018,1.002,0,-0.071195234,1.341120507,1.480320917,0.739244705,3.033929779,3.044594463,0.7005430624833374,0.7606415422524142,-0.31131339569925276,0.06025175264376142
Gangwon,2018,1.067,0,-0.989112292,-1.124496176,0.309238857,0.188083695,-0.517187685,-0.50980263,0.735718612458964,-0.42992782822962583,0.19463016257276658,0.5461506416673584
Chungbuk,2018,1.172,0,-0.74433441,-0.732822693,0.309238857,0.518780301,-0.463360041,-0.470150998,0.12014648788549973,-1.0913552562752038,0.06814427300476174,0.31189867131936544
Chungnam,2018,1.186,0,-0.13918909,-0.418199731,1.480320917,0.739244705,-0.316527161,-0.318685117,1.456817386959307,-0.16535685701139446,0.1187386288319626,0.07648703682180406
Jeonbuk,2018,1.044,0,-1.281485874,-1.252913712,-0.422687431,-0.363077316,-0.427988176,-0.435161759,1.0874741122152296,-0.6944987994478566,-1.095525911020883,0.30262136508077464
Jeonnam,2018,1.24,0,-1.104701848,-1.362068617,-0.129916916,-0.252845114,-0.482532491,-0.462576557,0.6653675125077109,-0.5622133138387415,0.32111605214077144,-0.309680816051208
Gyeongbuk,2018,1.167,0,-0.678607015,-0.951132503,-0.129916916,0.077851493,-0.239802313,-0.189982292,0.9819474622883498,1.1574979990797607,-0.21012468404484927,0.5067220925886332
Gyeongnam,2018,1.122,0,-0.483691294,-0.212731674,0.309238857,0.298315897,-0.013437121,0.032945744,1.7206340117765067,-0.29764234262051015,-0.7160682423168686,0.7606883381717852
Jeju,2018,1.22,0,1.202556339,-0.418199731,3.383329265,1.290405716,-0.713441833,-0.754388545,0.3839631127026992,-1.6204971987116659,2.218404395660844,0.9589907491065743
Seoul,2019,0.717,0,0.873919367,2.278568517,-1.447384234,0.95970911,2.137125862,2.008856112,-1.4803410360055065,1.5543544559071083,0.1187386288319626,-0.25749597106836863
Busan,2019,0.827,0,-0.377167586,0.57703617,-1.008228461,-0.252845114,0.010477682,0.039747625,-1.2516999611639341,0.6283560566432991,-0.8425541318848735,-1.5470414728276907
Daegu,2019,0.932,0,-0.621945469,0.313780222,-0.715457946,-0.032380709,-0.220884867,-0.222909052,-1.2692877361517478,0.6283560566432991,-0.8425541318848735,-1.3058315231486548
Incheon,2019,0.94,0,-0.053063539,1.071443682,0.162853599,0.629012503,-0.04271789,-0.045019263,-0.3547234367854583,1.5543544559071083,0.44760194170877626,-0.8094956637368946
Gwangju,2019,0.913,0,-0.866723351,-0.013684494,-0.422687431,0.077851493,-0.448711197,-0.498024171,-0.03814348700481937,0.6283560566432991,-0.3366105736128541,-0.9393779455108038
Daejeon,2019,0.883,0,-0.875789198,0.185362687,-1.300998976,0.518780301,-0.449882282,-0.490464067,0.9819474622883498,1.289783484688877,-0.36190775152645543,-0.03715995799087246
Ulsan,2019,1.084,0,0.237043581,0.814608611,-1.447384234,0.629012503,-0.584042299,-0.595428509,0.19049758783675283,1.289783484688877,-1.3484976901568928,-2.3066208840611937
Gyeonggi,2019,0.943,0,0.18718142,1.251228232,2.065861947,0.739244705,3.013344533,3.093080553,0.6653675125077109,0.7606415422524142,-0.18482750613124793,-0.7851427360782367
Gangwon,2019,1.082,0,-0.739801486,-1.124496176,-0.276302174,0.077851493,-0.525205211,-0.513078839,0.5070775376173918,0.4960705710341834,0.8017624324991894,0.18317605369502873
Chungbuk,2019,1.05,0,-0.624211931,-0.790610584,0.602009372,0.408548099,-0.47192504,-0.469670504,0.08497093790987317,-0.16535685701139446,0.27052169631356876,-0.11949604720543917
Chungnam,2019,1.112,0,-0.014533687,-0.514512882,0.894779887,0.739244705,-0.324890332,-0.31863719,1.4216418369836814,-0.42992782822962583,0.19463016257276658,-0.17400021909582647
Jeonbuk,2019,0.971,0,-1.159096932,-1.323543357,-1.008228461,-0.693773922,-0.440357693,-0.440870751,0.8060697124102171,-0.6944987994478566,-0.6148795306624651,0.21332729792675806
Jeonnam,2019,1.234,0,-0.916585512,-1.407014755,-0.422687431,-0.58354172,-0.492584008,-0.464254805,0.6301919625320843,-0.8267842850569723,0.5740878312767811,0.03473916083553099
Gyeongbuk,2019,1.089,0,-0.603813774,-1.034603902,-0.276302174,-0.142612911,-0.257947495,-0.196451965,0.8764208123614702,0.8929270278615299,-0.23542186195845058,0.18549538060257667
Gyeongnam,2019,1.046,0,-0.481424833,-0.488829375,-0.129916916,-0.032380709,-0.037350716,0.026674741,1.6854584618008808,0.7606415422524142,-0.36190775152645543,0.13331053561973732
